Results_Name,VSPAERO_History,,,,
CFz,0.18092,0.20715,0.2076,0.20789,0.20801
CL,0.181,0.20723,0.20769,0.20798,0.2081
CMx,0.00592,0.00012,0.00006,0.00002,0.00001
CMy,0.09985,0.11021,0.10963,0.10936,0.10919
CMz,0.00047,-0.00001,0,0,0
CS,0.00101,-0.00001,-0.00001,0,0
E,0.90042,0.99958,0.99963,0.99995,1.00017
FC_AoA_,2.564103,,,,
FC_Beta_,0,,,,
FC_Bref_,7.5,,,,
FC_Cref_,1.481959,,,,
FC_Mach_,0.001,,,,
FC_Pitch_Rate,0,,,,
FC_ReCref_,50000,,,,
FC_Rho_,0.002377,,,,
FC_Roll__Rate,0,,,,
FC_Sref_,11.114691,,,,
FC_Vinf_,100,,,,
FC_Xcg_,4.521099,,,,
FC_Yaw___Rate,0,,,,
FC_Ycg_,0,,,,
FC_Zcg_,-0.223591,,,,
L/D,3.79936,4.3087,4.317,4.32242,4.32478
Mach,0.001,0.001,0.001,0.001,0.001
T/QS,0.00217,0.00261,0.00262,0.00263,0.00263
WakeIter,1,2,3,4,5
Results_Name,VSPAERO_History,,,,
Results_Timestamp,1639008966,,,,
Results_Date,12,8,2021,,
Results_Time,18,16,6,,
Alpha,3.07692,3.07692,3.07692,3.07692,3.07692
AnalysisMethod,0,,,,
Beta,0,0,0,0,0
CDi,0.0035,0.00391,0.00394,0.00394,0.00394
CDo,0.04544,0.04549,0.04549,0.04549,0.04549
CDtot,0.04894,0.0494,0.04942,0.04943,0.04943
CDtrefftz,0,0,0,0,0
CFx,-0.00879,-0.00944,-0.00945,-0.00945,-0.00946
CFy,0.00076,0,-0.00001,0,0
CFz,0.22872,0.24846,0.24914,0.24929,0.24941
CL,0.22886,0.24861,0.24929,0.24944,0.24956
CMx,0.00465,0.00006,0.00001,0,0
CMy,0.13004,0.13585,0.13461,0.13431,0.13405
CMz,0.00119,0.00002,0,0,0
CS,0.00076,0,-0.00001,0,0
E,0.94221,0.99397,0.99258,0.99296,0.99318
FC_AoA_,3.076923,,,,
FC_Beta_,0,,,,
FC_Bref_,7.5,,,,
FC_Cref_,1.481959,,,,
FC_Mach_,0.001,,,,
FC_Pitch_Rate,0,,,,
FC_ReCref_,50000,,,,
FC_Rho_,0.002377,,,,
FC_Roll__Rate,0,,,,
FC_Sref_,11.114691,,,,
FC_Vinf_,100,,,,
FC_Xcg_,4.521099,,,,
FC_Yaw___Rate,0,,,,
FC_Ycg_,0,,,,
FC_Zcg_,-0.223591,,,,
L/D,4.67657,5.03293,5.04387,5.04657,5.04882
Mach,0.001,0.001,0.001,0.001,0.001
T/QS,0.00341,0.00385,0.00386,0.00386,0.00386
WakeIter,1,2,3,4,5
Results_Name,VSPAERO_History,,,,
Results_Timestamp,1639008966,,,,
Results_Date,12,8,2021,,
Results_Time,18,16,6,,
Alpha,3.58974,3.58974,3.58974,3.58974,3.58974
AnalysisMethod,0,,,,
Beta,0,0,0,0,0
CDi,0.00478,0.00534,0.00536,0.00537,0.00538
CDo,0.04553,0.04559,0.04559,0.04559,0.04559
CDtot,0.05031,0.05093,0.05096,0.05096,0.05097
CDtrefftz,0,0,0,0,0
CFx,-0.01194,-0.0128,-0.01282,-0.01283,-0.01283
CFy,0.00091,-0.00002,-0.00001,0,0
CFz,0.26671,0.2894,0.28999,0.29019,0.29058
CL,0.26693,0.28963,0.29023,0.29042,0.29081
CMx,0.00517,0.00007,0.00001,0.00001,0.00001
CMy,0.15672,0.16139,0.1606,0.1602,0.15925
CMz,0.00019,-0.00005,0,0,0
CS,0.00091,-0.00002,-0.00001,0,0
E,0.93727,0.98765,0.98763,0.98804,0.98796
FC_AoA_,3.589744,,,,
FC_Beta_,0,,,,
FC_Bref_,7.5,,,,
FC_Cref_,1.481959,,,,
FC_Mach_,0.001,,,,
FC_Pitch_Rate,0,,,,
FC_ReCref_,50000,,,,
FC_Rho_,0.002377,,,,
FC_Roll__Rate,0,,,,
FC_Sref_,11.114691,,,,
