Hydrogen,,,Helium,,,Nitrogen,,,Mystery Tube K,,,Mystery Tube I,,,Mercury Control,,,Mercury Clear Glasses,,,Mercury Sunglasses,,,Incandescant Bulb,,,CFL Bulb,,,Halogen Bulb,
207.092,13.13,,207.092,32.38,,207.092,79.54,,207.092,61.19,,207.092,-19.1,,207.092,46.86,,207.092,-19.55,,207.092,23.58,,207.092,300.57,,207.092,-8.95,,207.092,315.64
207.36,52.53,,207.36,87.9,,207.36,101.03,,207.36,138.2,,207.36,70.44,,207.36,143.57,,207.36,62.83,,207.36,70.14,,207.36,354.29,,207.36,84.17,,207.36,342.5
207.628,0.6,,207.628,57.46,,207.628,108.2,,207.628,18.21,,207.628,65.07,,207.628,91.63,,207.628,48.5,,207.628,32.53,,207.628,239.68,,207.628,28.65,,207.628,204.61
207.896,13.13,,207.896,-7.01,,207.896,79.54,,207.896,7.46,,207.896,27.46,,207.896,68.35,,207.896,32.38,,207.896,7.46,,207.896,280.87,,207.896,73.43,,207.896,340.71
208.164,-19.1,,208.164,16.27,,208.164,142.22,,208.164,21.79,,208.164,40,,208.164,89.84,,208.164,14.48,,208.164,73.72,,208.164,372.2,,208.164,-12.54,,208.164,258.33
208.431,-4.78,,208.431,32.38,,208.431,38.35,,208.431,77.31,,208.431,-1.19,,208.431,98.8,,208.431,39.55,,208.431,11.04,,208.431,289.82,,208.431,25.07,,208.431,347.88
208.699,-2.98,,208.699,-7.01,,208.699,13.28,,208.699,12.83,,208.699,43.58,,208.699,36.12,,208.699,23.43,,208.699,-76.71,,208.699,277.29,,208.699,-14.33,,208.699,324.59
208.967,31.04,,208.967,52.08,,208.967,63.43,,208.967,-26.56,,208.967,18.51,,208.967,21.79,,208.967,5.52,,208.967,9.25,,208.967,227.14,,208.967,53.73,,208.967,310.27
209.235,9.55,,209.235,77.16,,209.235,67.01,,209.235,82.68,,209.235,29.25,,209.235,73.72,,209.235,78.95,,209.235,82.68,,209.235,372.2,,209.235,94.92,,209.235,278.03
209.503,-35.22,,209.503,100.44,,209.503,58.05,,209.503,93.42,,209.503,38.21,,209.503,77.31,,209.503,27.01,,209.503,107.75,,209.503,279.08,,209.503,-16.12,,209.503,415.93
